Region,Country,Indicator,Value,gdp_per_capita
Asia,Hong Kong,imports_per_capita,77075.58549,48755.83508
Europe,Hungary,imports_per_capita,12402.66529,16475.74184
Europe,Iceland,imports_per_capita,19170.79618,66944.82551
Asia,India,imports_per_capita,350.6249004,2104.1459
Asia,Indonesia,imports_per_capita,624.177916,4135.569263
Middle East & North Africa,Iran,imports_per_capita,497.9941828,5520.310789
Middle East & North Africa,Iraq,imports_per_capita,1415.707873,5955.10901
Europe,Ireland,imports_per_capita,19944.68776,78660.95646
Middle East & North Africa,Israel,imports_per_capita,8837.246918,43641.39774
Europe,Italy,imports_per_capita,7831.581203,33189.5658
Latin America & Caribbean,Jamaica,imports_per_capita,2164.687098,5582.263778
Asia,Japan,imports_per_capita,5698.591614,40246.88013
Middle East & North Africa,Jordan,imports_per_capita,1895.182402,4330.329346
Asia,Kazakhstan,imports_per_capita,2010.837151,9731.145207
 Africa,Kenya,imports_per_capita,320.1578032,1816.546916
Pacific,Kiribati,imports_per_capita,1046.471716,1655.078839
Europe,Kosovo,imports_per_capita,2430.939227,4417.50994
Middle East & North Africa,Kuwait,imports_per_capita,8110.039618,32031.9801
Asia,Kyrgyzstan,imports_per_capita,751.6329601,1309.392992
Asia,Laos,imports_per_capita,823.304323,2534.898277
Europe,Latvia,imports_per_capita,9923.401467,17836.36489
Middle East & North Africa,Lebanon,imports_per_capita,2877.599922,7784.316857
 Africa,Lesotho,imports_per_capita,996.9896123,1157.535164
 Africa,Liberia,imports_per_capita,171.7783308,621.8929536
Middle East & North Africa,Libya,imports_per_capita,2091.717249,7683.750611
Europe,Liechtenstein,imports_per_capita,58172.47167,"165,028.25"
Europe,Lithuania,imports_per_capita,13081.74848,19455.45413
Europe,Luxembourg,imports_per_capita,38326.26706,114704.5942
 Africa,Madagascar,imports_per_capita,141.7968816,522.2198092
 Africa,Malawi,imports_per_capita,151.4117756,411.5523404
Asia,Malaysia,imports_per_capita,6333.760932,11414.83766
Asia,Maldives,imports_per_capita,5364.965664,10790.50024
 Africa,Mali,imports_per_capita,227.1215214,890.7372855
Middle East & North Africa,Malta,imports_per_capita,16016.33363,29416.23061
Pacific,Marshall Islands,imports_per_capita,1098.158473,3788.163594
 Africa,Mauritania,imports_per_capita,599.2698818,1677.919253
 Africa,Mauritius,imports_per_capita,4410.552868,11203.54058
Latin America & Caribbean,Mexico,imports_per_capita,3624.696511,9863.072699
Europe,Moldova,imports_per_capita,1448.154086,4498.52085
Asia,Mongolia,imports_per_capita,1869.084187,4295.235025
Europe,Montenegro,imports_per_capita,4158.957817,8832.036836
Middle East & North Africa,Morocco,imports_per_capita,1371.973224,3204.095003
 Africa,Mozambique,imports_per_capita,244.8662129,491.8047231
Asia,Myanmar,imports_per_capita,330.8227562,1407.813143
 Africa,Namibia,imports_per_capita,2839.342675,4957.458006
Asia,Nepal,imports_per_capita,416.655112,1071.050761
Europe,Netherlands,imports_per_capita,37115.38668,52447.83144
Pacific,New Zealand,imports_per_capita,8757.913606,42084.35337
