Region,Country,GDP per capita,Indicator,Exports
 Africa,Eswatini,3837.026994,Imports,43.91196862
 Africa,Ethiopia,857.501351,Imports,20.82587382
Europe,Finland,48685.85399,Imports,39.49008239
Europe,France,40493.92857,Imports,32.75101537
 Africa,Gabon,7667.366861,Imports,21.56090134
 Africa,"Gambia, The",751.2946884,Imports,44.14329535
Asia,Georgia,4769.186543,Imports,62.87155939
Europe,Germany,46258.87829,Imports,41.13049857
 Africa,Ghana,2202.115567,Imports,35.40140847
Europe,Greece,19582.53601,Imports,37.19698158
Europe,Greenland,54470.95639,Imports,45.01914913
Latin America & Caribbean,Grenada,10965.51316,Imports,55.49876661
Latin America & Caribbean,Guatemala,4619.987097,Imports,28.16954741
 Africa,Guinea,1064.131237,Imports,66.44607875
 Africa,Guinea-Bissau,697.7844029,Imports,33.51091696
Latin America & Caribbean,Guyana,5468.356629,Imports,46.06822059
Latin America & Caribbean,Haiti,754.5879177,Imports,57.45721588
Latin America & Caribbean,Honduras,2574.912191,Imports,56.3674365
Asia,"Hong Kong SAR, China",48755.83508,Imports,175.5249251
Europe,Hungary,16475.74184,Imports,79.65248211
Europe,Iceland,66944.82551,Imports,40.59670469
Asia,India,2104.1459,Imports,21.35656851
Asia,Indonesia,4135.569263,Imports,18.89588228
Middle East & North Africa,"Iran, Islamic Rep.",5520.310789,Imports,23.8384608
Middle East & North Africa,Iraq,5955.10901,Imports,39.29548163
Europe,Ireland,78660.95646,Imports,112.4196532
Middle East & North Africa,Israel,43641.39774,Imports,29.01853243
Europe,Italy,33189.5658,Imports,28.53373293
Latin America & Caribbean,Jamaica,5582.263778,Imports,51.06852832
Asia,Japan,40246.88013,Imports,18.29159855
Middle East & North Africa,Jordan,4330.329346,Imports,50.38444201
Asia,Kazakhstan,9731.145207,Imports,27.89132614
 Africa,Kenya,1816.546916,Imports,21.36964548
Pacific,Kiribati,1655.078839,Imports,88.76208633
Asia,"Korea, Rep.",31761.97769,Imports,36.88355411
Europe,Kosovo,4417.50994,Imports,56.05966439
Middle East & North Africa,Kuwait,32031.9801,Imports,43.76702476
Asia,Kyrgyz Republic,1309.392992,Imports,65.69983784
Asia,Lao PDR,2534.898277,Imports,41.88246346
Europe,Latvia,17836.36489,Imports,59.82364468
Middle East & North Africa,Lebanon,7784.316857,Imports,41.94829538
 Africa,Lesotho,1157.535164,Imports,90.99012649
 Africa,Liberia,621.8929536,Imports,98.72694774
Middle East & North Africa,Libya,7683.750611,Imports,53.48590104
Europe,Lithuania,19455.45413,Imports,72.49269134
Europe,Luxembourg,114704.5942,Imports,172.7638666
 Africa,Madagascar,522.2198092,Imports,33.35755397
 Africa,Malawi,411.5523404,Imports,35.59649468
Asia,Malaysia,11414.83766,Imports,57.75014645
Asia,Maldives,10790.50024,Imports,69.44147023
 Africa,Mali,890.7372855,Imports,34.17302886
Middle East & North Africa,Malta,29416.23061,Imports,120.411644
Pacific,Marshall Islands,3788.163594,Imports,85.28050687
 Africa,Mauritania,1677.919253,Imports,52.37413508
 Africa,Mauritius,11203.54058,Imports,53.63417689
Latin America & Caribbean,Mexico,9863.072699,Imports,39.11478408
Europe,Moldova,4498.52085,Imports,55.2483161
Asia,Mongolia,4295.235025,Imports,64.41952355
Europe,Montenegro,8832.036836,Imports,65.37616198
Middle East & North Africa,Morocco,3204.095003,Imports,48.32377026
 Africa,Mozambique,491.8047231,Imports,74.12378511
Asia,Myanmar,1407.813143,Imports,30.2992385
 Africa,Namibia,4957.458006,Imports,47.66554682
Asia,Nepal,1071.050761,Imports,46.2576217
Europe,Netherlands,52447.83144,Imports,71.7985693
Pacific,New Zealand,42084.35337,Imports,27.96082516
Latin America & Caribbean,Nicaragua,1912.903745,Imports,49.9686531
 Africa,Niger,554.6009687,Imports,27.97753401
 Africa,Nigeria,2229.858696,Imports,17.51094431
Europe,North Macedonia,6093.14769,Imports,75.58480098
Europe,Norway,75419.63487,Imports,35.19654248
Middle East & North Africa,Oman,15474.03248,Imports,42.52398649
Asia,Pakistan,1284.702041,Imports,20.31919048
Pacific,Palau,15859.43486,Imports,76.30323643
Latin America & Caribbean,Panama,15731.01603,Imports,46.84867692
Pacific,Papua New Guinea,2845.180186,Imports,58.91886141
Latin America & Caribbean,Paraguay,5414.799138,Imports,34.48417398
Latin America & Caribbean,Peru,6977.695784,Imports,22.93675534
Asia,Philippines,3485.084218,Imports,40.26692022
Europe,Poland,15595.22703,Imports,50.49222452
Europe,Portugal,23145.04082,Imports,43.79322263
Middle East & North Africa,Qatar,64781.7332,Imports,36.39350301
Europe,Romania,12919.52964,Imports,44.20860401
Europe,Russia,11584.99538,Imports,20.76102652
 Africa,Rwanda,801.656187,Imports,34.63640874
Pacific,Samoa,4315.920675,Imports,53.13511976
Latin America & Caribbean,St. Kitts and Nevis,19896.4957,Imports,58.9918525
Latin America & Caribbean,St. Vincent and the Grenadines,7463.537831,Imports,58.02867039
Middle East & North Africa,Saudi Arabia,23139.79866,Imports,26.13231149
 Africa,Senegal,1446.830965,Imports,37.7137764
Europe,Serbia,7402.354559,Imports,60.69730834
 Africa,Seychelles,17401.72151,Imports,86.35250471
 Africa,Sierra Leone,504.4625434,Imports,39.22853131
Asia,Singapore,65233.28244,Imports,145.6311148
Europe,Slovak Republic,19329.0968,Imports,92.10718172
Europe,Slovenia,25739.24781,Imports,75.29920634
Pacific,Solomon Islands,2127.538508,Imports,53.31904816
 Africa,Somalia,126.9249205,Imports,37.74140482
 Africa,South Africa,6001.400814,Imports,29.35069678
 Africa,South Sudan,1119.651333,Imports,28.8999999
Europe,Spain,29613.67114,Imports,32.04682129
Asia,Sri Lanka,3853.083693,Imports,29.24683633
 Africa,Sudan,441.5056034,Imports,14.09277648
Latin America & Caribbean,Suriname,6854.906561,Imports,38.41407488
Europe,Sweden,51610.06606,Imports,43.47547593
Europe,Switzerland,81993.72715,Imports,53.40495722
Middle East & North Africa,Syrian Arab Republic,2032.623489,Imports,37.83303084
Asia,Taiwan,"29,910",Imports,47.22
Asia,Tajikistan,870.7875893,Imports,40.92153941
 Africa,Tanzania,1122.12181,Imports,17.09866326
Asia,Thailand,7808.192916,Imports,50.5584534
Asia,Timor-Leste,1294.188934,Imports,60.26615347
 Africa,Togo,675.5422133,Imports,41.6015382
Pacific,Tonga,4364.015561,Imports,75.92219761
Middle East & North Africa,Tunisia,3317.541013,Imports,60.70321833
Asia,Turkey,9042.492983,Imports,29.78026305
Asia,Turkmenistan,6966.635411,Imports,12.49719621
 Africa,Uganda,776.7685759,Imports,26.65275336
Europe,Ukraine,3659.031312,Imports,49.00157602
Middle East & North Africa,United Arab Emirates,43103.32306,Imports,68.47983955
Europe,United Kingdom,42300.26713,Imports,32.71140572
North America,United States of America,65118.35833,Imports,14.67241761
Latin America & Caribbean,Uruguay,16190.12696,Imports,19.30624431
Asia,Uzbekistan,1724.841134,Imports,41.81855552
Pacific,Vanuatu,3058.065675,Imports,49.39134612
Latin America & Caribbean,"Venezuela, RB",16054.49051,Imports,31.39698618
Asia,Vietnam,2715.276036,Imports,103.6046953
 Africa,Zambia,1291.343357,Imports,35.01364422
 Africa,Zimbabwe,1463.98591,Imports,31.00475225
Asia,Afghanistan,502.1154869,Trade Openness,45.62117712
Europe,Albania,5352.857411,Trade Openness,76.72829956
Middle East & North Africa,Algeria,3948.343279,Trade Openness,52.04477457
Latin America & Caribbean,Antigua and Barbuda,17790.30931,Trade Openness,90.18543202
Latin America & Caribbean,Argentina,10006.14897,Trade Openness,32.39366596
Asia,Armenia,4622.733493,Trade Openness,91.43228557
Pacific,Australia,54907.10191,Trade Openness,45.6862153
Europe,Austria,50277.27509,Trade Openness,107.7247034
Asia,Azerbaijan,4793.58702,Trade Openness,86.04387801
Latin America & Caribbean,"Bahamas, The",32933.48601,Trade Openness,77.35039639
Middle East & North Africa,Bahrain,23503.97713,Trade Openness,151.4048543
Asia,Bangladesh,1855.739824,Trade Openness,36.75929975
Latin America & Caribbean,Barbados,18148.24493,Trade Openness,83.69167115
Europe,Belarus,6663.295293,Trade Openness,133.3459895
Europe,Belgium,46116.69923,Trade Openness,163.2932215
Latin America & Caribbean,Belize,4815.163711,Trade Openness,115.710072
 Africa,Benin,1219.432672,Trade Openness,63.68133231
Asia,Bhutan,3243.231126,Trade Openness,86.71171549
Latin America & Caribbean,Bolivia,3552.068762,Trade Openness,56.39730664
Europe,Bosnia and Herzegovina,6073.265203,Trade Openness,95.88061828
 Africa,Botswana,7961.33814,Trade Openness,74.11064198
Latin America & Caribbean,Brazil,8717.186278,Trade Openness,28.97662365
Asia,Brunei Darussalam,31086.75108,Trade Openness,108.5096584
Europe,Bulgaria,9737.601351,Trade Openness,123.723105
 Africa,Burkina Faso,774.8396902,Trade Openness,60.18214321
 Africa,Burundi,261.2474725,Trade Openness,41.85736024
 Africa,Cabo Verde,3603.781794,Trade Openness,116.2145286
Asia,Cambodia,1643.121389,Trade Openness,123.5565238
 Africa,Cameroon,1497.909176,Trade Openness,40.55391185
North America,Canada,46194.72523,Trade Openness,64.9767045
 Africa,Central African Republic,467.9074406,Trade Openness,66.13513044
 Africa,Chad,709.5403101,Trade Openness,74.57052556
Latin America & Caribbean,Chile,14896.45387,Trade Openness,56.76178882
Asia,China,10261.67913,Trade Openness,35.68008749
Latin America & Caribbean,Colombia,6432.387583,Trade Openness,38.09475797
 Africa,Comoros,1393.522372,Trade Openness,43.09452132
 Africa,"Congo, Dem. Rep.",545.2162123,Trade Openness,67.28727813
 Africa,"Congo, Rep.",2011.072399,Trade Openness,112.2508627
Latin America & Caribbean,Costa Rica,12238.37496,Trade Openness,66.09901583
 Africa,Cote d'Ivoire,2286.162777,Trade Openness,45.59707942
Europe,Croatia,14853.23984,Trade Openness,102.8497733
Latin America & Caribbean,Cuba,8821.818891,Trade Openness,27.0947682
